City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,urambo,-5.0667,32.05,29.27,30,68,1.89,TZ,1695838575
247,santo antonio,-6.3106,-35.4789,30.85,40,80,6.63,BR,1695838575
248,aykhal,66.0,111.5,1.49,78,100,7.67,RU,1695838575
249,jefferson city,38.5767,-92.1735,28.27,53,75,0.0,US,1695838383
250,antsiranana,-12.2787,49.2917,23.79,78,2,9.15,MG,1695838576
251,manggar,-2.8833,108.2667,26.99,78,12,5.36,ID,1695838576
252,vadso,70.0744,29.7487,11.49,87,100,4.63,NO,1695838576
253,taltal,-25.4,-70.4833,16.98,70,12,3.25,CL,1695838576
254,sao joao da barra,-21.6403,-41.0511,33.05,75,95,7.42,BR,1695838577
255,jianshui,23.6363,102.8264,19.18,98,100,1.49,CN,1695838577
256,tralee,52.2704,-9.7026,15.14,94,100,9.77,IE,1695838473
257,trondheim,63.4305,10.3951,12.05,95,80,0.45,NO,1695838496
258,as sanad,34.4628,9.264,23.18,49,34,5.24,TN,1695838578
259,dembi dolo,8.5333,34.8,14.99,96,98,1.81,ET,1695838578
260,remire-montjoly,4.9167,-52.2667,33.02,62,0,5.66,GF,1695838578
261,caleta de carquin,-11.0925,-77.6267,20.88,75,93,4.51,PE,1695838578
262,port alfred,-33.5906,26.891,13.99,93,96,1.79,ZA,1695838579
263,sumbe,-11.2061,13.8437,22.33,86,13,2.59,AO,1695838579
264,udachny,66.4167,112.4,1.92,80,99,7.52,RU,1695838579
265,kostopil',50.8784,26.4519,16.73,48,8,3.58,UA,1695838580
266,mount isa,-20.7333,139.5,15.87,44,5,0.51,AU,1695838580
267,touggourt,33.1053,6.058,27.06,28,0,1.54,DZ,1695838580
268,jwaneng,-24.6004,24.7303,16.16,25,0,3.66,BW,1695838581
269,bougouni,11.417,-7.479,30.21,61,27,1.85,ML,1695838581
270,qui nhon,13.7667,109.2333,25.95,85,99,2.28,VN,1695838581
271,manoharpur,27.3,75.95,26.14,41,1,2.17,IN,1695838582
272,nagqu,31.5,92.0,1.32,76,29,1.08,CN,1695838582
273,bogorodskoye,56.55,37.8833,10.6,69,39,1.65,RU,1695838582
274,hauterive,46.0901,3.4459,25.42,45,98,1.28,FR,1695838582
275,pacora,9.0833,-79.2833,31.99,74,40,5.14,PA,1695838583
276,tucumcari,35.1717,-103.725,28.86,36,0,4.63,US,1695838339
277,isla mujeres,21.2311,-86.731,30.09,79,99,2.19,MX,1695838583
278,sitka,57.0531,-135.33,11.94,94,100,0.0,US,1695838583
279,havre,49.5833,0.3333,20.87,73,75,6.17,FR,1695838584
280,homer,59.6425,-151.5483,6.13,78,0,2.68,US,1695838584
281,fale old settlement,-9.3852,-171.2468,27.48,82,23,6.87,TK,1695838584
282,nadvoitsy,63.8667,34.3167,12.56,87,97,4.12,RU,1695838584
283,akjoujt,19.6969,-14.4164,39.87,12,99,4.49,MR,1695838585
284,mermoz boabab,14.7065,-17.4758,30.31,79,75,4.12,SN,1695838585
285,at taj,24.2049,23.2857,31.12,12,2,4.35,LY,1695838585
286,aral,40.5156,81.2636,20.47,26,0,3.24,CN,1695838585
287,ban sam chuk,14.7333,100.1,24.71,95,100,3.07,TH,1695838586
288,progreso,21.2833,-89.6667,34.5,67,40,4.59,MX,1695838514
289,zouerate,22.7187,-12.4521,36.76,13,98,6.16,MR,1695838586
290,bykhaw,53.5193,30.2469,14.03,55,35,2.8,BY,1695838586
291,tocopilla,-22.092,-70.1979,19.65,68,31,4.1,CL,1695838576
292,manturovo,58.3353,44.7619,9.46,91,40,1.69,RU,1695838587
293,general acha,-37.377,-64.6043,24.11,11,9,8.4,AR,1695838587
294,hamilton,39.1834,-84.5333,21.61,93,100,2.57,US,1695838385
295,port macquarie,-31.4333,152.9167,16.61,84,94,2.28,AU,1695838588
296,cotacachi,0.3,-78.2667,26.75,41,16,2.58,EC,1695838588
297,lloydminster,53.2835,-110.0016,18.12,39,40,4.63,CA,1695838588
298,lar,26.2039,83.9717,29.14,64,53,1.22,IN,1695838589
299,nyurba,63.2842,118.3319,6.11,63,98,3.13,RU,1695838589
300,merowe,18.4833,31.8167,37.43,22,8,1.16,SD,1695838589
301,yuksekova,37.5736,44.2872,15.86,48,40,1.03,TR,1695838590
302,soto la marina,23.7667,-98.2167,36.1,34,31,2.73,MX,1695838590
303,prienai,54.6333,23.95,20.15,60,1,3.45,LT,1695838590
304,sinop,41.7711,34.8709,16.12,84,0,1.55,TR,1695838326
305,fort st. john,56.2499,-120.8529,9.94,81,100,2.57,CA,1695838591
306,mossel bay,-34.1831,22.146,12.96,74,0,5.41,ZA,1695838591
307,dhidhdhoo,6.8833,73.1,28.17,77,100,6.9,MV,1695838591
308,fort mcmurray,56.7268,-111.381,16.77,51,0,2.57,CA,1695838482
309,le moule,16.3332,-61.3473,31.02,100,96,0.89,GP,1695838592
310,tourlaville,49.6383,-1.5664,19.68,82,100,8.75,FR,1695838592
311,broken hill,-31.95,141.4333,10.42,56,0,5.11,AU,1695838482
312,freetown,8.484,-13.2299,27.84,89,75,4.12,SL,1695838593
313,uchiza,-8.4592,-76.4633,36.54,33,46,1.1,PE,1695838593
314,angostura,25.3667,-108.1833,36.08,52,3,3.86,MX,1695838593
315,howrah,22.5892,88.3103,30.0,84,40,2.57,IN,1695838593
316,bonthe,7.5264,-12.505,27.56,82,71,3.53,SL,1695838594
317,port douglas,-16.4833,145.4667,22.27,79,43,6.33,AU,1695838594
318,katsuren-haebaru,26.3369,127.8719,28.43,93,20,2.57,JP,1695838594
319,puerto aysen,-45.4,-72.7,6.94,99,98,1.68,CL,1695838595
320,labrador city,52.9463,-66.9114,14.95,44,75,4.12,CA,1695838595
321,kirensk,57.7853,108.1119,6.32,78,100,0.92,RU,1695838595
322,masterton,-40.9597,175.6575,6.05,99,99,0.54,NZ,1695838596
323,mantenopolis,-18.8625,-41.1228,38.01,23,69,3.57,BR,1695838321
324,revda,56.801,59.9303,7.88,87,98,2.16,RU,1695838596
325,emet,39.343,29.2585,15.77,81,89,2.42,TR,1695838596
326,kargasok,59.0556,80.8572,6.7,91,100,1.67,RU,1695838597
327,deori khas,23.4,79.0167,24.51,82,32,0.65,IN,1695838597
328,port hedland,-20.3167,118.5667,24.03,69,56,2.57,AU,1695838597
329,youghal,51.95,-7.8506,15.56,96,93,13.73,IE,1695838597
330,filey,54.21,-0.2892,16.82,89,100,6.26,GB,1695838598
331,wanning,18.8003,110.3967,26.23,89,100,1.28,CN,1695838598
332,papao,-17.75,-149.55,25.82,87,0,7.94,PF,1695838598
333,aripuana,-9.1667,-60.6333,36.26,31,33,1.11,BR,1695838599
334,glace bay,46.1969,-59.957,15.5,80,100,4.12,CA,1695838599
335,jalai nur,49.45,117.7,7.32,82,24,4.02,CN,1695838599
336,okha,53.5739,142.9478,9.19,95,82,4.9,RU,1695838599
337,egilsstadir,65.2653,-14.3948,7.19,85,100,0.43,IS,1695838600
338,pontes e lacerda,-15.2261,-59.3353,36.97,26,43,4.35,BR,1695838476
339,kodinsk,58.6881,99.1844,4.77,89,20,1.05,RU,1695838600
340,kushchevskaya,46.5564,39.6386,20.07,28,0,6.16,RU,1695838600
341,mar del plata,-38.0023,-57.5575,18.01,77,40,5.14,AR,1695838503
342,ambovombe,-25.1667,46.0833,21.98,77,6,3.99,MG,1695838601
343,port blair,11.6667,92.75,26.48,85,100,8.76,IN,1695838601
344,yuzhno-kurilsk,44.0306,145.8556,14.61,87,72,2.9,RU,1695838601
345,nkowakowa,-23.8878,30.2871,15.69,87,100,0.21,ZA,1695838601
346,altpinar,39.2042,32.7478,21.22,31,4,2.1,TR,1695838602
347,flying fish cove,-10.4217,105.6791,23.82,88,100,5.66,CX,1695838602
348,bayanhongor,46.7167,100.1167,-4.9,82,43,0.7,MN,1695838602
349,wildwood,38.5828,-90.6629,27.99,68,20,0.45,US,1695838439
350,saint-philippe,-21.3585,55.7679,22.77,82,26,6.29,RE,1695838603
351,margate,51.3813,1.3862,20.94,81,100,1.79,GB,1695838515
352,wagar,16.1525,36.2032,35.36,34,67,2.21,SD,1695838603
353,guanare,9.0418,-69.7421,33.23,54,5,2.02,VE,1695838603
354,takoradi,4.8845,-1.7554,25.99,85,32,4.35,GH,1695838542
355,corner brook,48.9667,-57.9484,16.09,54,2,3.83,CA,1695838604
356,san rafael del yuma,18.4299,-68.6739,33.11,53,13,5.95,DO,1695838604
357,poli,-3.3333,36.8,20.18,57,86,4.21,TZ,1695838604
358,nuku'alofa,-21.1333,-175.2,23.19,94,75,3.09,TO,1695838605
359,fatehpur,25.9333,80.8,29.98,59,92,0.77,IN,1695838605
360,serdar,38.9764,56.2757,19.72,31,0,1.1,TM,1695838605
361,kununurra,-15.7667,128.7333,23.99,60,38,3.6,AU,1695838528
362,bomdila,27.25,92.4,14.04,92,33,2.05,IN,1695838606
363,santa lucia,27.9117,-15.5407,21.62,61,20,10.29,ES,1695838606
364,colonia,50.9333,6.95,21.65,65,0,3.6,DE,1695838448
